Screenname,Legacy_Verified,Follower_Count,Subscription_Date,Status
omarsuleiman504,V,659291,1/24/2023,B
takeshi_tsuruno,V,657446,1/14/2023,B
MoonisElahi6,V,657189,1/15/2023,B
Sima_Sabet,V,654913,11/12/2022,B
mrBobbyBones,V,651469,1/6/2023,B
JERICHO,V,648836,11/11/2022,B
joelcomm,V,647720,12/16/2022,U
REALMizkif,V,643743,12/31/2022,B
marcuslemonis,V,643042,12/23/2022,B
norioo_,V,642952,1/14/2023,B
the_ironsheik,V,642649,1/27/2023,B
bhorowitz,V,636447,11/10/2022,B
osgaweesh,V,635258,11/11/2022,B
carelpedre,V,632463,12/30/2022,B
Britney_Amber,V,632195,1/26/2023,B
realMikeLindell,V,630856,1/26/2023,B
ericschiffer,V,629666,11/10/2022,B
karpathy,V,626727,12/22/2022,B
ReedTimmerAccu,V,625875,1/13/2023,B
denfaminicogame,V,625234,1/15/2023,B
Todd_McFarlane,V,622254,1/20/2023,B
VPITV,V,619983,11/30/2022,U
itzzzmad,V,616708,12/17/2022,B
Chad_Hurley,V,616355,12/14/2022,B
davidfrawleyved,V,610374,1/10/2023,B
tradingview,V,610275,12/29/2022,B
ProjektMelody,V,608379,12/17/2022,U
BillAckman,V,606283,12/31/2022,U
tanaka_tatsuya,V,602998,1/13/2023,B
andymilonakis,V,596531,1/24/2023,B
madeon,V,590913,12/17/2022,U
OfficialPLT,V,589881,11/10/2022,B
shannonrwatts,V,588035,11/11/2022,U
TrungTPhan,V,580090,11/10/2022,B
LynAldenContact,V,578636,12/31/2022,B
TPUSA,V,577216,11/11/2022,B
ScottGottliebMD,V,576495,12/7/2022,B
TorreySmithWR,V,575714,1/20/2023,B
ElijahSchaffer,V,571410,1/19/2023,B
ShellenbergerMD,V,569979,11/10/2022,B
Moz,V,569585,1/26/2023,B
SethDillon,V,568023,12/16/2022,B
DavidSacks,V,566936,12/16/2022,B
PatrickMuyaya,V,563229,1/5/2023,B
russotalks,V,560186,1/10/2023,B
BootstrapCook,V,560106,11/10/2022,D
jasoninthehouse,V,560066,12/29/2022,B
MarcJSpears,V,559827,2/4/2023,B
officialDannyT,V,553395,1/5/2023,B
stclairashley,V,546474,11/10/2022,B
desiringGod,V,545824,1/27/2023,B
tommychong,V,545297,12/30/2022,B
CarolNdosi,V,542349,11/16/2022,B
alexisohanian,V,540718,12/23/2022,B
bourashed,V,538922,1/1/2023,B
ochyai,V,538615,1/15/2023,B
MoneyMan,V,534929,1/5/2023,B
porlagoma,V,530669,11/25/2022,B
YaserAlyamani,V,530246,12/31/2022,B
KamVTV,V,526786,11/10/2022,B
OzraeliAvi,V,525037,1/19/2023,B
Reflog_18,V,523275,11/10/2022,B
TomPelissero,V,522961,1/5/2023,B
boomaero,V,522257,1/13/2023,B
JimNorton,V,521708,1/19/2023,B
TheDemCoalition,V,521269,1/26/2023,B
iSafePal,V,520804,2/5/2023,B
Jihoz_Axie,V,520399,1/27/2023,B
PelonGomis,V,516804,11/20/2022,B
DeniseNyakeru,V,511649,12/30/2022,B
astrologyzone,V,508929,12/22/2022,B
JohnRatcliffe,V,506875,1/11/2023,B
atchouameni,V,504500,1/10/2023,B
RebelNewsOnline,V,504457,1/26/2023,B
PeterStefanovi2,V,504238,11/10/2022,B
PalmerReport,V,499549,11/10/2022,B
AlexanderNL,V,496116,1/26/2023,B
rarible,V,494763,1/19/2023,B
dramadrama,V,494334,12/29/2022,B
Matt_VanDyke,V,491043,11/10/2022,U
doctorow,V,489695,1/26/2023,B
SoaRGaming,V,489549,1/1/2023,B
realchrisrufo,V,488905,1/26/2023,B
Rock_Mafia,V,488704,12/31/2022,B
NickAdamsinUSA,V,488036,1/5/2023,B
HarunMaruf,V,487191,1/13/2023,B
estebangerbasi,V,485927,12/30/2022,B
VernonForGA,V,484729,1/26/2023,B
TundeTASH,V,482856,12/4/2022,U
rickyberwick,V,481004,1/19/2023,B
WarrenWhitlock,V,480746,1/19/2023,B
markminervini,V,480010,1/20/2023,B
FantomFDN,V,477228,12/23/2022,B
GabbyDarko,V,476101,12/18/2022,B
mikeyk,V,471355,11/10/2022,B
PapaRandlicious,V,470477,12/14/2022,B
francety,V,468592,1/10/2023,B
john,V,468274,1/20/2023,B
KarenCivil,V,467591,12/23/2022,U
HaHaDavis,V,464972,11/30/2022,B
KurtSchlichter,V,461591,12/14/2022,B
jon_prosser,V,459272,11/10/2022,U
Eugene_Robinson,V,458484,11/10/2022,B
fourzerotwo,V,458197,1/5/2023,B
TrevohChalobah,V,455371,1/10/2023,B
gatewaypundit,V,451605,12/30/2022,B
georgegalloway,V,448010,11/10/2022,B
PastorMark,V,447686,11/15/2022,B
OphCourse,V,446143,2/4/2023,B
tarastrong,V,445920,2/3/2023,B
eguri89,V,444514,1/14/2023,B
ChanelRion,V,443979,1/19/2023,B
morganhousel,V,443459,11/10/2022,U
GiveAwayHost,V,441787,11/10/2022,U
DudePerfect,V,441036,12/22/2022,B
NorthmanTrader,V,440643,11/10/2022,B
JuliaDavisNews,V,439709,1/5/2023,B
ANAGABRIELRL,V,437017,1/10/2023,U
PrestonPysh,V,436835,1/13/2023,B
BrianFeroldi,V,436663,1/13/2023,B
xychelsea,V,434876,11/10/2022,B
JeanieBuss,V,433298,12/22/2022,B
ChrisEubankJr,V,429652,12/30/2022,B
Rasmussen_Poll,V,422598,12/16/2022,B
Scobleizer,V,419527,12/20/2022,B
McNasty,V,419424,12/22/2022,U
JamesMelville,V,418786,11/10/2022,U
JoelKatz,V,418390,12/23/2022,U
jheil,V,416690,12/30/2022,B
defcon,V,415046,1/19/2023,B
RaheemKassam,V,414938,11/10/2022,B
petermckinnon,V,413550,11/10/2022,U
AlkhaleejOnline,V,413527,1/10/2023,B
FreedomofPress,V,413129,1/19/2023,B
KermitTheFrog,V,412672,12/20/2022,B
DJSnM,V,412421,12/23/2022,B
iamprincekash,V,410409,1/27/2023,B
MarleeMatlin,V,410316,12/30/2022,B
kschwarb12,V,409363,1/27/2023,B
ACTforAmerica,V,405083,12/23/2022,B
AndhraBoxOffice,V,405052,12/26/2022,B
DonutOperator,V,404786,11/10/2022,U
MilvaGauto,V,404496,1/13/2023,B
Camavinga,V,404491,12/25/2022,B
Buccigross,V,404199,1/27/2023,B
TeufeurSoff,V,403628,1/28/2023,B
StephenM,V,402500,11/10/2022,B
evanfong,V,400785,12/22/2022,B
zentreya,V,399419,11/10/2022,U
davemorin,V,399296,11/10/2022,B
IvanOnTech,V,399214,2/3/2023,B
Myanmar_Now_Eng,V,398151,12/17/2022,B
rilakkuma_gyr,V,397259,2/1/2023,B
Smith_WessonInc,V,391142,12/22/2022,B
FerAlvarez,V,389617,1/7/2023,B
TJOshie77,V,389269,12/15/2022,B
milkstrology,V,389143,12/17/2022,B
lavern_spicer,V,388448,1/19/2023,B
MaxBlumenthal,V,386895,2/3/2023,B
usahockey,V,386336,1/6/2023,B
stevewilldoit,V,386328,12/22/2022,U
arydigitalasia,V,386305,1/10/2023,B
Lukewearechange,V,385245,11/10/2022,U
JakeSucky,V,384935,1/13/2023,B
GoldGloveTV,V,383485,11/10/2022,U
StephanSpeaks,V,382039,11/10/2022,B
JessicaVaugn,V,381854,12/14/2022,U
AndreCronjeTech,V,381666,12/23/2022,B
patrickbetdavid,V,381294,12/31/2022,B
letscinema,V,381159,12/6/2022,B
HermelaTV,V,380050,12/14/2022,B
ERYANIM,V,375568,1/10/2023,B
ObservatoryLY,V,375408,1/20/2023,B
kibeandy,V,375357,1/25/2023,B
HayleyMcQueen,V,375244,1/10/2023,B
NotionHQ,V,374986,1/27/2023,B
AntonioParis,V,374028,1/26/2023,B
hira_saiore,V,372358,1/14/2023,B
CatoInstitute,V,367317,1/23/2023,B
JoeyMulinaro,V,367015,1/5/2023,B
highsnobiety,V,366478,12/14/2022,B
robwhittakermma,V,364924,1/26/2023,B
KollyBuzz,V,364591,1/15/2023,B
RealVision,V,362220,12/22/2022,B
mariapaularomo,V,361140,1/13/2023,B
MarioNawfal,V,360821,2/4/2023,B
Flash_Garrett,V,359763,12/23/2022,B
RookieXBT,V,358193,12/29/2022,B
briebriejoy,V,356485,12/20/2022,B
BaldyNFL,V,356338,1/27/2023,B
salice_roseee,V,352352,1/10/2023,B
SuiNetwork,V,351684,12/16/2022,B
TarikToros,V,351279,1/10/2023,B
phantom,V,351124,12/17/2022,B
Dylan_Bostic,V,351084,11/11/2022,B
RealDoctorMike,V,350967,11/11/2022,B
davidasinclair,V,349468,12/29/2022,B
davemcclure,V,348791,12/30/2022,B
seanonolennon,V,348685,11/10/2022,B
dannykanell,V,348495,12/28/2022,B
roccodispirito,V,347045,1/24/2023,B
jess,V,342888,11/11/2022,U
lessig,V,339920,12/14/2022,B
farokh,V,338054,1/13/2023,B
alvaroodriozola,V,337941,1/10/2023,B
Kevin_Maguire,V,337513,1/19/2023,B
ZexRow,V,337247,12/31/2022,B
oricon_anime_,V,336702,1/14/2023,B
PJ_Matlock,V,334563,12/31/2022,B
KevinOConnorNBA,V,333805,11/10/2022,B
MomsDemand,V,333627,12/22/2022,B
MikhailaFuller,V,333256,11/10/2022,B
sameer_alnamri,V,332053,2/5/2023,B
RevDrBarber,V,330225,1/19/2023,B
VentureCoinist,V,328070,12/30/2022,B
amrezy,V,326890,1/14/2023,B
figma,V,326672,1/11/2023,B
BENBALLER,V,326554,12/16/2022,B
Parasite,V,326417,11/10/2022,U
va_shiva,V,325399,12/31/2022,B
ki_young_ju,V,325268,12/23/2022,B
JeremyDBoreing,V,324684,12/14/2022,B
CryptoWendyO,V,324605,1/13/2023,B
torybruno,V,322571,11/10/2022,B
traecrowder,V,321470,1/15/2023,B
kimbal,V,319365,11/11/2022,B
townhallcom,V,319062,12/22/2022,B
RobertIger,V,318860,1/15/2023,B
tabbata,V,317255,1/13/2023,B
Jdiamondisme,V,317201,1/10/2023,U
LilaGraceRose,V,316767,1/20/2023,B
TheBlock__,V,315299,12/30/2022,B
Etilaatroz,V,315025,1/19/2023,B
unstoppableweb,V,314721,12/17/2022,B
litcapital,V,314306,11/10/2022,U
digitalassetbuy,V,312984,12/31/2022,B
TheFFBallers,V,312097,12/16/2022,B
realMeetKevin,V,312023,12/30/2022,B
salomondrin,V,310636,1/14/2023,B
MatthewACherry,V,310001,1/19/2023,B
marianodiaz7,V,309174,1/10/2023,B
aroliveros,V,309138,1/10/2023,B
SharpFootball,V,308676,1/12/2023,B
